Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family
changeable,22219,1271,irregular,-1,1,2,None
changeable,22219,2150,capricious,-1,3,2,None
changeable,22219,3355,volatile,-1,3,2,None
changeable,22219,3940,irresponsible,4,1,2,None
changeable,22219,5246,variable,5,1,2,None
changeable,22219,5314,agitated,-1,1,2,None
changeable,22219,5662,unreliable,4,1,2,None
changeable,22219,6030,wavering,-1,1,2,None
changeable,22219,6293,skittish,-1,1,2,None
changeable,22219,6659,indecisive,-1,1,2,None
changeable,22219,7158,variant,-1,1,2,None
changeable,22219,9596,fluid,6,1,2,None
changeable,22219,10249,mercurial,-1,3,2,None
changeable,22219,10939,whimsical,-1,1,2,None
changeable,22219,11620,transitional,-1,1,2,None
changeable,22219,12021,vagrant,-1,1,2,None
changeable,22219,12238,shifting,-1,3,2,None
changeable,22219,12241,unsettled,-1,3,2,None
changeable,22219,12243,unstable,-1,3,2,None
changeable,22219,12367,movable,-1,1,2,None
changeable,22219,12815,fickle,-1,3,2,None
changeable,22219,13215,kaleidoscopic,-1,1,2,None
changeable,22219,15835,convertible,-1,1,2,None
changeable,22219,16650,reversible,6,1,2,None
changeable,22219,19547,fitful,-1,1,2,None
changeable,22219,20886,flighty,-1,1,2,None
changeable,22219,21905,varying,-1,3,2,None
changeable,22219,22029,unsteady,-1,1,2,None
changeable,22219,23932,protean,-1,3,2,None
changeable,22219,28100,spasmodic,-1,1,2,None
reaction,32530,87,feeling,3,1,2,None
reaction,32530,182,take,3,2,2,None
reaction,32530,194,kick,1,2,2,None
reaction,32530,453,lip,3,2,2,None
reaction,32530,739,return,2,1,2,None
reaction,32530,742,reply,3,1,2,None
reaction,32530,867,echo,6,2,2,None
reaction,32530,1743,reflection,4,2,2,None
reaction,32530,2015,recoil,-1,2,2,None
reaction,32530,2254,hit,2,2,2,None
reaction,32530,3597,reception,4,1,2,None
reaction,32530,5211,compensation,5,2,2,None
reaction,32530,6529,revulsion,-1,2,2,None
reaction,32530,6992,feedback,4,1,2,None
reaction,32530,7858,repercussion,-1,2,2,None
reaction,32530,9025,rebound,-1,2,2,None
reaction,32530,9095,backlash,-1,1,2,None
reaction,32530,9599,counterbalance,-1,2,2,None
reaction,32530,10032,backfire,-1,2,2,None
reaction,32530,11104,reciprocation,-1,2,2,None
reaction,32530,13725,reverberation,-1,2,2,None
reaction,32530,14402,retort,-1,2,2,None
reaction,32530,19123,rejoinder,-1,2,2,None
reaction,32530,21553,boomerang,-1,2,2,None
reaction,32530,23791,kickback,-1,2,2,None
reaction,32530,24013,acknowledgment,-1,2,2,None
reaction,32530,30828,wisecrack,-1,2,2,None
reaction,32530,32021,answer,1,1,2,None
reaction,32530,33659,attitude,3,1,2,None
reaction,32530,33660,opinion,3,1,2,None
reaction,32530,35575,receptivity,-1,2,2,None
reaction,32530,35723,sass,-1,2,2,None
reaction,32530,35989,comeback,5,2,2,None
reaction,32530,36436,reflex,-1,2,2,None
reaction,32530,36883,vibes,-1,2,2,None
consent,13952,738,permission,3,3,2,None
consent,13952,1974,accord,-1,2,2,consent
consent,13952,4868,permit,3,3,2,consent
consent,13952,6422,allowance,5,2,2,consent
consent,13952,6444,sanction,5,3,2,consent
consent,13952,6808,approval,4,3,2,consent
consent,13952,8189,compliance,5,3,2,consent
consent,13952,11709,yes,1,2,2,consent
consent,13952,16019,carte blanche,-1,1,2,consent
consent,13952,16837,authorization,-1,3,2,consent
consent,13952,18083,concurrence,-1,3,2,consent
consent,13952,21120,acquiescence,-1,3,2,consent
