Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family
including,17463,9587,plus,2,1,3,include
simple,16577,312,clean,1,3,1,simple
simple,16577,474,light,3,2,1,simple
simple,16577,532,quiet,2,3,1,simple
simple,16577,3263,effortless,-1,1,1,simple
simple,16577,4969,elementary,4,3,1,simple
simple,16577,5165,manageable,-1,1,1,simple
simple,16577,7143,unmistakable,-1,1,1,simple
simple,16577,8549,transparent,4,3,1,simple
simple,16577,10175,cinch,-1,2,1,simple
simple,16577,10478,intelligible,-1,1,1,simple
simple,16577,11503,uncomplicated,-1,3,1,simple
simple,16577,12515,facile,-1,1,1,simple
simple,16577,12560,walkover,-1,2,1,simple
simple,16577,13842,lucid,-1,1,1,simple
simple,16577,21972,plain,3,3,1,simple
simple,16577,22035,mild,5,1,1,simple
simple,16577,22686,smooth,3,3,1,simple
simple,1496,312,clean,1,3,1,simple
simple,1496,474,light,3,2,1,simple
simple,1496,532,quiet,2,3,1,simple
simple,1496,3263,effortless,-1,1,1,simple
simple,1496,4969,elementary,4,3,1,simple
simple,1496,5165,manageable,-1,1,1,simple
simple,1496,7143,unmistakable,-1,1,1,simple
simple,1496,8549,transparent,4,3,1,simple
simple,1496,10175,cinch,-1,2,1,simple
simple,1496,10478,intelligible,-1,1,1,simple
simple,1496,11503,uncomplicated,-1,3,1,simple
simple,1496,12515,facile,-1,1,1,simple
simple,1496,12560,walkover,-1,2,1,simple
simple,1496,13842,lucid,-1,1,1,simple
simple,1496,21972,plain,3,3,1,simple
simple,1496,22035,mild,5,1,1,simple
simple,1496,22686,smooth,3,3,1,simple
simple,25964,312,clean,1,1,1,simple
simple,25964,474,light,3,2,1,simple
simple,25964,532,quiet,2,1,1,simple
simple,25964,3263,effortless,-1,3,1,simple
simple,25964,4969,elementary,4,1,1,simple
simple,25964,5165,manageable,-1,3,1,simple
simple,25964,7143,unmistakable,-1,3,1,simple
simple,25964,8549,transparent,4,1,1,simple
simple,25964,10175,cinch,-1,2,1,simple
simple,25964,10478,intelligible,-1,3,1,simple
simple,25964,11503,uncomplicated,-1,1,1,simple
simple,25964,12515,facile,-1,3,1,simple
simple,25964,12560,walkover,-1,2,1,simple
simple,25964,13842,lucid,-1,3,1,simple
simple,25964,25466,plain,3,1,1,simple
simple,25964,25495,mild,5,3,1,simple
simple,25964,25905,smooth,3,1,1,simple
simple,25964,31630,straightforward,4,1,1,simple
simple,25964,32165,snap,6,2,1,simple
simple,25964,34754,self-explanatory,-1,3,1,simple
simple,22754,312,clean,1,1,1,simple
simple,22754,474,light,3,2,1,simple
simple,22754,532,quiet,2,1,1,simple
simple,22754,3263,effortless,-1,3,1,simple
simple,22754,4969,elementary,4,1,1,simple
simple,22754,5165,manageable,-1,3,1,simple
simple,22754,7143,unmistakable,-1,3,1,simple
simple,22754,8549,transparent,4,1,1,simple
simple,22754,10175,cinch,-1,2,1,simple
simple,22754,10478,intelligible,-1,3,1,simple
simple,22754,11503,uncomplicated,-1,1,1,simple
simple,22754,12515,facile,-1,3,1,simple
simple,22754,12560,walkover,-1,2,1,simple
simple,22754,13842,lucid,-1,3,1,simple
simple,22754,25466,plain,3,1,1,simple
simple,22754,25495,mild,5,3,1,simple
simple,22754,25905,smooth,3,1,1,simple
simple,22754,31630,straightforward,4,1,1,simple
simple,22754,32165,snap,6,2,1,simple
simple,22754,34754,self-explanatory,-1,3,1,simple
past,1762,717,ago,2,1,1,None
past,1762,890,over,3,2,1,None
past,1762,2513,previous,3,3,1,None
past,1762,4796,finished,-1,1,1,None
past,1762,5867,ended,-1,1,1,None
past,1762,6759,extinct,5,1,1,None
past,1762,7159,prior,5,3,1,None
past,1762,12819,precedent,6,2,1,None
past,1762,14644,antecedent,-1,2,1,None
past,1762,15586,former,3,3,1,None
company,1687,57,body,1,2,3,None
company,1687,89,zoo,1,2,3,None
company,1687,113,order,2,2,3,None
company,1687,214,set,4,2,3,None
company,1687,431,party,1,3,3,None
company,1687,558,gang,4,2,3,None
company,1687,1111,band,1,2,3,None
company,1687,1192,circle,2,2,3,None
company,1687,1582,team,2,3,3,None
company,1687,1772,jungle,-1,2,3,None
company,1687,2549,muster,-1,2,3,None
company,1687,2580,league,3,2,3,None
company,1687,2714,crew,3,2,3,None
company,1687,2846,assembly,6,2,3,None
company,1687,3417,collection,3,2,3,None
company,1687,3822,troop,4,2,3,None
company,1687,4784,convention,5,2,3,None
company,1687,4889,horde,-1,2,3,None
company,1687,5079,association,4,3,3,None
company,1687,5846,clan,-1,2,3,None
company,1687,6111,congregation,5,2,3,None
company,1687,6632,gathering,5,2,3,None
company,1687,6652,ensemble,-1,2,3,None
company,1687,9579,troupe,-1,2,3,None
company,1687,9687,turnout,5,2,3,None
company,1687,10621,throng,-1,2,3,None
company,1687,11327,assemblage,-1,2,3,None
company,1687,12159,aggregation,-1,2,3,None
company,1687,15676,retinue,-1,2,3,None
company,1687,16200,clique,-1,2,3,None
company,1687,17291,ring,-1,2,3,None
company,1687,17319,concourse,-1,2,3,None
company,1687,20557,coterie,-1,2,3,None
company,1687,21244,corps,-1,2,3,None
company,1687,28121,ruck,-1,2,3,None
company,1687,29498,mob,5,2,3,None
jelly,955,1478,extract,4,2,2,None
jelly,955,1516,preserve,4,2,2,None
jelly,955,5484,mass,5,2,2,None
jelly,955,7838,pulp,-1,2,2,None
jelly,955,19046,pectin,-1,2,2,None
plan,32858,19,picture,1,2,1,plan
plan,32858,298,trick,3,2,1,plan
plan,32858,852,layout,5,2,1,plan
plan,32858,898,outline,6,2,1,plan
plan,32858,1011,purpose,3,2,1,plan
plan,32858,1228,system,3,1,1,plan
plan,32858,1322,deal,4,1,1,plan
plan,32858,1787,pattern,4,2,1,plan
plan,32858,1946,platform,4,2,1,plan
plan,32858,2144,policy,4,1,1,plan
plan,32858,2166,plot,4,2,1,plan
plan,32858,2310,angle,5,2,1,plan
plan,32858,2439,meaning,3,2,1,plan
plan,32858,2502,aim,3,2,1,plan
plan,32858,2973,project,4,1,1,plan
plan,32858,3080,device,4,2,1,plan
plan,32858,3693,intent,5,2,1,plan
plan,32858,3759,treatment,4,1,1,plan
plan,32858,3835,method,3,1,1,plan
plan,32858,4329,program,2,1,1,plan
plan,32858,4391,disposition,6,2,1,plan
plan,32858,4480,proposition,5,2,1,plan
plan,32858,4950,strategy,4,1,1,plan
plan,32858,5369,procedure,4,1,1,plan
plan,32858,5820,scenario,6,2,1,plan
plan,32858,6228,proposal,4,1,1,plan
plan,32858,8122,undertaking,6,2,1,plan
plan,32858,13214,gimmick,-1,2,1,plan
plan,32858,19238,means,4,2,1,plan
plan,32858,20599,contrivance,-1,2,1,plan
plan,32858,21407,stratagem,-1,2,1,plan
plan,32858,25165,expedient,-1,2,1,plan
plan,32858,31566,arrangement,3,1,1,plan
plan,32858,31756,suggestion,3,1,1,plan
plan,32858,31930,game plan,-1,3,1,plan
plan,32858,32934,idea,2,1,1,plan
plan,32858,33718,animus,-1,2,1,plan
plan,32858,34056,projection,5,2,1,plan
plan,32858,36465,orderliness,-1,2,1,plan
plan,32858,36539,intention,4,1,1,plan
plan,32858,36836,big picture,1,3,1,plan
plan,32858,37396,tactics,5,2,1,plan
match,667,21,race,2,3,1,match
match,667,43,game,1,3,1,match
match,667,228,meet,1,2,1,match
match,667,1216,sport,1,2,1,match
match,667,2492,test,1,3,1,match
match,667,2661,trial,4,3,1,match
match,667,3038,contest,3,3,1,match
match,667,4351,engagement,5,2,1,match
match,667,6766,bout,-1,3,1,match
stomach,1282,329,pot,3,2,2,None
stomach,1282,546,inside,4,2,2,None
stomach,1282,1672,tummy,-1,3,2,None
stomach,1282,1691,belly,-1,3,2,None
